,Comment
64,"
    13 kasım'da bir televizyon alma gafletinde bulunduğumuz site. daha doğrusu sipariş verdiğimiz demek gerekir. çünkü bizi bugüne kadar bekletip bugün sanki biz iptal etmişiz gibi mail gönderip siparişimizi iptal etmiştir kendileri. tamam her şekilde bunu yapmamaları gerekir ama biz insaflı davranalım, ellerinde ürün yok diyelim. dün aynı tv yi 4 saatlik süper indirime koydular. üstelik satıcı normal satıcı değil bu arada hepsiburadanın kendisi. not: zaten beklediğimiz bu iki hafta içerisinde kendilerine hiçbir şekilde ulaşamadığımızı söylemeye gerek yok. bu zaten 83 milyonun malumu.
  "
65,"
    xiaomi vacuum mop 2 in 1 essential cihazı kaç gündür takip ediyorum. saat dokuzu bekliyordum ve saat 9 oldu ürün 2058 tl olarak listelendi ve trendyol da 2038 tl bende oradan alırım dedim sonra sayfayı yeniledim ürün bitmiş ve 999 tl den bittiğini gösteriyor. e ben kendi gözlümle gördüm 2058 tl olduğunu bittiği zaman nasıl 999 tl den bittiğini gösteriyorlar? yani şunu mu demek istiyorlar ""biz efsane bir indirim yaptık 999 tl den sattık bu ürünü"" tabii yersen, işleri güçleri milleti dolandırmak trendyol da aynı hepsiburada da aynı ama ben bu durumu hepsiburada.com da daha fazla gördüm. indirim yok arkadaşlar bindirim var.
  "
66,"
    black friday diyip %30 + %11 indirim diyorlar ürünü satın alıyorum ürün elime geçmeden 2 gün içerisinde 300lira daha indirim yapiyorlar. bu yapılan ahlaksız ticarettir, tüketiciyi yanıltmaktır. hakikaten kapkara bir hafta benim için , arıyorum iade yapıp bi daha alın diyorlar! kaybedilecek enerji , emek, zaman ne olacak? yazık değil mi? 1 hafta sonra yapsalar aynı şeyi şanssızım derim kaderime boyun eğerim ama süper indirim diyip bi daha yok diyip de böyle geçirmeleri koyuyor be.
  "
67,"
    alışveriş yapmamaya yemin etmiştim ama almak istediğim kulaklığı maalesef sadece burası satıyordu. mecbur sipariş verdim 23 kasım tarihinde. hemen bir saat sonra transfer aracına yüklendiği bilgisi geldi. bugün ayın 28’i hala transfer aracında. transferin başladığı yer istanbul, hedef bölge istanbul. başka bir şey diyemiyorum maalesef. bu kadar şark kurnazlığı olmaz. millet sipariş iptal etmesin diye ürün kargolanmamasına rağmen kargolanmış gibi gösteriyorlar. yine pişmanlık...
  "
68,"
    yorumum yayınlanmadı, buradan silemezsiniz... hepsiburada'dan ilk alışverişim; 25 kasım günü telefon aldım. ""yaşadığım şehirden"" kargoya verilip telefon kayseri'ye gitmiş. 27 kasım akşam 20.40 ta kargoya verildi, 28 kasım günü, sabah bakıyım dedim telefon kayseri dağıtım merkezine gitmiş. aradım kayıt oluşturuldu, tekrar baktım 2 saat sonra dağıtıma çıkmış. benim telefon kayseride dolanıyor. anneme de hediye almıştık kadın hevesli hevesli bekliyordu. 1 2 güne gelir dedim, ben ne biliyim benim telefon 1 gün sonra gelmişti. (bunu da amazondan almadığıma çok pişmanım) hem geç kargoya verdiler bir de kayseriyi dolanıp gelecek. yorumlarda da baloncuğa sarılmadığından şikayet etmişler..edit: telefon bunu yazdıktan 2 saat sonra falan geldi. nasıl oldu bilmiyorum. ezik büzük bol bi kutunun içinde bol bi baloncuk geçirmişler sarmamıslar bile baloncuk kendiliğinden düştü. paketlememişler allah'a emanet etmişler sadece. burdan önemli bir şey alınmayacağını öğrenmiş oldum.
  "
69,"
    bütçesi 200-300 bandında olmayan hiç bir ürünü riske girip almadığım e ticaret sitesi. 200 lira parayı yolda düşürsem kendimi köprüden aşağı atmam tabi, ancak 200 lira para verip aldığım bir üründe sorun yaşayıp günlerce, saatlerce uğraşınca kendimi kesesim gelir, ateşlere atasım gelir. kendi kendimi suçlayıp ""ha bu şerefsizlerden nasıl bile bile alışveriş yapıyorum hala salak gibi?"" derim. ama amazon öyle mi? amazonda sırf zevkine iade edip rahatlayasım geliyor. iade süreçlerinde sorun yaşama ihtimalinin düşüklüğü gece rüyalarımı süslüyor. işte ben de böyle aklı başında bir tüketiciyim.
  "
70,"
    kargo konusunda beni mutsuz etmeyen firma. tabi internetten alınan elektronik ürünlere hiç bir zaman 300den fazla para vermem. sizde vermeyin.
  "
71,"
    son siparişimi hele bir teslim etsinler uygulamasını direkt sileceğim
  "
72,"
    uygun fiyata aldığım ürün tedarik edilmedi diye firma taradından iptal edildi. eden firma aracı kurum falan da değil. bizzat hepsiburada.daha da kötüsü aynı ürün şu an hala satışta. köpeksiz köyde deyneksiz gezen firmalar maalesef
  "
73,"
    (bkz: amazon.com.tr'nin ek indirim farkını iade etmesi)
  "
74,"
    almak istediğim telefonu en ucuza satan yer olduğu için ilk kez tercih ettiğim alışveriş sitesidir. umarım pişman etmez.
  "
75,"
    perşembe akşamı vermiş olduğum 22 farklı siparişin yarısından fazlasını bu akşam itibari ile adresime ulaştırmış e ticaret sitesihepsijet akşam 7 de geldi, diğer kargocular akşama kadar geldi gitti. şimdi derseniz mi memnun musunuz, en kritik şeylerin halen gelmemiş olması can sıkıcı olsa da, fena sayılmaz be
  "
76,"
    kıvır zıvır şeyler hariç kullanmadığım alışveriş sitesiydi.geçen cuma günü samsung galaxy s10+'ı amazon'dan 4990 tl karşılığında satın aldıktan 1 dakika sonra aynı telefonun fiyatının hepsiburada'da 4800'e düştüğünü görmemle amazon satışını iptal edip rotayı buraya kırdım.umarım pişman olmam. burayı editleyeceğim.edit: pişman olmadım.
  "
77,"
    bu tip konularda her zaman derdimiz olunca gelip yazarız, biraz kültürümüzde var yermeyi çok severiz ama hakkını vermeyiz. buraya kendi açımdan yaptığım alışverişlerde henüz bir sorun yaşamamam sebebiyle hepsiburada'yı takdir etmeye geldim. ıvır zıvır da çok aldım, yüksek fiyatlı ürün de aldım. elektronik biraz satıcı bağımsız şans işidir bilirsiniz üretici firmaların bile belli oranda göz yumdukları, tolere ettikleri bir hata yapı vardır sektörüne göre 1000'de 1 de olabilir 100'de 1 de. çok değişken. tabi burada satıcı/aracı firmanın bir kabahati olmayabilir, sonraki süreçte takındıkları tavır çok önemli. insanların da tüketici haklarına hakim olmaları gerekiyor. geçenlerde akıllı robot süpürge sipariş verip teslim aldım. henüz paketi açmamıştım fakat kullanımının uygun olmayacağını düşünüp iade talebi oluşturdum. hepsijet ile paketi evden almalarını istedim, hangi gün teslim alınacağını seçtim, 2 gün içerisinde paketim alındı, 2 gün içerisinde de satıcıya ulaşıp iade talebim gerçekleşti. teşekkür/takdir ederim. indirim konusuna gelince de her sitenin uyguladığı ucuz numaralar bunları artık bilmeniz lazım. aa %40 indirim varmış deyip atlayan yoktur diye düşünüyorum (mutlaka vardır). serbest piyasa, gidin araştırın elinizin altında internet. ben hiçbir zaman indirimlerine inanmam, bazı ürünlerde %60, %70 indirim olduğu yazıyor, o ürünlerin fiyatlarını kontrol ederim hep aynı. indirim saçmalığı boyutu da artık çığır açtı 2'ye ayırmak zorunda kaldılar normal indirim ve sepette indirim :d falan fistan son fiyat neyse odur.(bkz: para almıyorum :d)
  "
78,"
    bir şeyi cehaletin eline teslim ettiğinizde ne olur? ben açıklayayım piç olur. hepsiexpress; express sıfat olarak kullanıldığında, dünyada hızlının da hızlısı, manyak hızlı şeklinde kullanıyor. cambridge dictionary sözlüğünde, express: ""using a service that does something faster than usual"" olarak örnekleme bile yapılmış. bu kelime türkçeye girdiğinde neden götü başı dağıtıyor? normal kargolar 3 günde getirdiğinde bir sürü laf söylüyoruz değil mi? hepsi burada benim kargomu, aynı il içerisinde tam 8 günde teslim etti. üstelik 2 defa müşteri temsilcilerine şikayet bildirdim. bu işi yapamayacaksanız ismini express yapmayın! düşünsene, ingilizce bilen bir turist, ""express yazıyor. hemen sipariş edeyim"" dediğinde kargo aynı il içerisinde 8 günde zorla teslim ediliyor. müşterinize saygınız yok onu anlıyoruz da kendinize de mi saygınız yok?
  "
79,"
    hepsiburada.com çözüm merkezinden aradılar. biraz bekleyin deyip yüzüme kapattılar.fıkra bu kadar.
  "
80,"
    kargo seçeneği sunmayan aptal site.dün verdiğim sipariş 9 aralık gibi rektum yırtan bi süreyle teslimat tarihi verilmişti. şimdi de ptt kargo ile gönderil olacakmış. hemen iptal ettim ürünü gidip eczaneden 50 tl ye daha pahalıya alacağım. 2021 de anca elime geçer yoksaedit: 2021 e 20 gün kaldı hala gelmedi. bakalım 1 sene esprisi yapabilecek miyiz
  "
81,"
    aynı gün kargoda ifadesi yalan olan site. sistemde günleri ilerletmeyip tarihi sipariş verilen günde bırakarak hazırlanıyor etiketi kullanmaları ayrı komik. her türlü iade edeceğim. keşke kargonun başına bir şey gelse de ben uğraşmasam.
  "
82,"
    yalakalık sayılmayacak ise bende buradan bir iki satır bişey yazacağım . geçen hafta içinde almış olduğum bıçak seti tarafımca alındığı halde sistemlerinde iade edilmiş gözüktüğü için ücretimi kartıma iade ettiler. sonra beni arayıp durumu bildirdiler yanlışlık olmuş diye. bana ödeme yapmam için bir link yolladılar. link çalışmıyordu . müşteri hizmetlerine ulaşarak bu durumu ilettim . onlar da durumu inceleyip kendi hataları olduğunu ve ürün için ücret talep etmeyeceklerini , güzel günlerde kullanmamı söylediler . genel olarak alışveriş sitelerinden memnunum, kargolarda bazı ürünlerde gecikme olmasına rağmen , iptal iade vs taleplerinde şimdiye kadar sıkıntı yaşamadım .
  "
83,"
    (bkz: efsane listeler) kategorisinde ünlülerin alış veriş listesi yapılmış.(bkz: ezgi mola)'nın listesinde 4. sırada genel amaçlı silikon yer bulmuş*.
  "
84,"
    işlerine gelmeyen yorumları yayınlamıyorlar. vay efenim neymiş ürünle ilgili değilmiş yorum. lan ürün bozuk diyorum yada ürünü aldıktan iki saat sonra indirim yaptınız diyorum.. elmayla mı ilgili amk. lan bunlar burdan da para kazanmıyorsa ben de bişey bilmiyorum. firmalara üç beş ateşleyin her yorumu yayınlamayalım vs diyorlar kesin yada firma üyelik paketlerinin birinde vardır böyle bi seçenek.
  "
85,"
    hizmetinden memnun olduğum e-ticaret firması. çok ürün aldım. çok ürün iade ettim. hiçbirinde sorun yaşamadım. umarım hep böyle devam eder.
  "
86,"
    bedava kargo 100 tl üzerine olmuş. fark ettirmeden soktular 10 tl kargo ücretini. ayda yılda, amazon maske satmadigindan,buradan alalım dedik, pişman olduk. kaç gün oldu daha ürün de kargoya verilmedi.
  "
87,"
    tanım: işlerine gelmeyen yorumu yayınlamayan alışveriş sitesi. depresif yazar isimli arkadaşın bahsettiği olayın benzeri benim de başıma geldi. xiaomi hybrid pro kulaklık satın alma gafletinde bulundum. ürün sahte çıktı, aşağıdaki yorumu yazıp orijinal ve gönderilen sahte ürünle ilgili karşılaştırmalı fotoğrafları da ekleyerek yolladım. ""ürünü ""as teknoloji ürünleri""nden aldım fakat replikanın da replikası çıktı. kutu içeriği de orijinalinden farklı, 2 adet silikon başlık da eksik gönderilmiş. ses kalitesi en dandik kulaklıklarla eşdeğer. şikayetimi bildirdim, hepsiburada hiç bekletmeden iadeyi gerçekleştirdi. diğer satıcılar için yorum yapamayacağım ama satıcısı ""as teknoloji ürünleri"" isimli teknolojiden uzak firma ise siz de satın almadan uzak durun derim. orijinal ve bana gönderilen ürünün karşılaştırmalı fotoğrafını da ekliyorum.""hepsiburada'yı kötüleyen bir durum olmamasına rağmen yorumum yayınlanmayınca iletişime geçtim. çağrı merkezindeki arkadaş fiyat bilgisi paylaşılan, hakaret içeren yorumlar yayınlanmıyor diye açıklama yapınca yorumumu kendisine okudum ve yorumumda bir sorun olmadığını dile getirdi. konu ile ilgili şikayet açıyorum, yorumunuzu tekrar iletin dedi fakat en son satıcı ismini de kaldırıp toplamda 3 kez daha denememe rağmen yorumum yayınlanmadı, sonunda yıldırdılar ve vazgeçtim.
  "
88,"
    hırsızlığın dik alasını yapan sitedir.
  "
89,"
    olumsuz yorumları yayınlamayan, ürün alırsamda satıcısının kendisi olması halinde ürün satın aldığım eticaret firmasıdır.
  "
90,"
    apple ile anlaşması olayında ön sipariş alt yapısının nasıl çalıştığını anlamadığım site.şöyle ki, siteden 1 adet iphone 12 128 gb siyah sipariş vermek istiyorum ama kalmamış görünüyor. henüz gelmeden kalmaması demek, ellerine geçecek olan tüm siyah 128 gb olanları insanlar ön sipariş vermiş demek.fakat asıl nokta şu, gelir mi 1-2 gün içinde?yani elimize x kadar telefon geçecekti, hepsi ön siparişte. şimdi elimize y kadar daha telefon geçecek o yüzden ön siparişe tekrardan düştü olayı olur mu bir umut?
  "
91,"
    ürün yorumlarında hepsiburada ile yaşadığınız bir problemi belirttiğinizde yorumunuzu sansürleyip yayınlamayan site. aynı şekilde google play puanları da çok yüksek çünkü olumsuz yazılan yoruma bir cevap yazıp ardından yorumu kaldırtıyorlar. (edit'e bakmakta fayda var.)olumlu her şeyi sahiplenirken olumsuz deneyimleri sildirip mükemmelmiş imajı yaratmaya çalışıyorlar, gereksiz bir izlenim çabaları var. madem izlenim sizin için önemli tüketicinin sorunlarını çözün biz de gönül rahatlığıyla sizi övelim.ayrıca kampanyalarında sorunlar yaşanıyor güvenmenizi önemiyorum 2 kuruş kar edeceğim diye çile çektiğinize değmez.edit: haklarını yemek istemiyorum.google play'de kendi yaptığım yorum bana otomatik olarak görünmedi yani 0'dan puan verip yorum yazacağım arayüz açıldığı için yorumumun silindiğini düşünmüştüm ancak sonradan detaylı baktığımda yorumun durduğunu gördüm. ancak kendi platformları için dediğim şeyler geçerli. yorumlar sansürleniyor.
  "
92,"
    iade politikalarında güvenilirliği sorgulanması gereken bir şirket.özellikle xiaomi gibi herkesin ithal edebildiği markaları tercih ediyorsanız iade sürecinde her türlü ilginçlik yaşayabilirsiniz.geçtiğimiz hafta satın aldığım xiaomi air purifier 3h cihazını teslim aldıktan tam olarak 12 saat sonra eksiksiz olarak iade ettim. ilgili satıcıya ulaştıktan 5 gün sonra ""arızalı ürün, hasarlı paket"" cevabı ile iade talebimi reddettiler ve hemen apar topar da yeniden kargoya vermişler. ürünün paketinin hasarlı olduğu iddiasında bulunmak için 5 gün nasıl bir analiz yaptılar çok merak ediyorum orası ayrı da asıl anlamadığım sırf para iadesi yapmamak adına atılan 40 takla.hepsiburada.com destek hattı da bana cevaben ürünün arızalı olmadığını tespit etmek için servise götürüp rapor almamı sonra kendilerine dönüş yapmamı istiyorlar, şaka gibi. yani bir tane satıcı kafasına göre yorum yazıyor ve sonrasında ben sağlam teslim ettiğim şıkır şıkır çalışan cihaz için servislerde sürünüp paramın peşinde koşmak zorundayım. o zaman her satıcı canının istediği gibi sattığı ürünlerin üzerine yatsın, sizler de bizleri süründürün.şimdi soruyorum ben artık nasıl hangi sebeple hepsiburada.com 'a ve iade politikalarına güvenerek sizden alışveriş yapayım ? ismi cismi bilinmeyen bir esnafın 2 gün içerisinde kusursuz teslim aldığı ürün hakkında beni suçlaması ve hepsiburada.com 'un olayı sadece seyretmesi çok vahim bir durum.
  "
93,"
    yillardir kor topal kullandigim ama son yasadigim sacmalik sonrasi uyeligimi iptal edecegim sitedir. ha umurlarinda olmaz orasi ayri ama yapacagim daha fazla bir sey yok ne yazik ki. yasadigim olay soyle;11.11 kapsamında indirimle satin aldığım ürünler zamanında satıcı tarafından hepsijet adli kargo firmasına teslim edildi. kargo paketim anadolu aktarma merkezi denen yere geldi ve günlerce işlem yapılmadı burada bekledi. defalarca hepsiburada'yi aramam sonucunda, en sonunda kargo paketime taşıyıcı firmanın hasar verdiği, ücret iadesi yapılabilecegi söylendi. ürünleri indirimle aldığımı ücret iadesi istemediğimi genel müdürlük merkezlerine 3 kez belirtmeme rağmen bugün işlem iptali ve para iadesinden başka hakkınız yok, urunler tarafiniza yollanmayacak denildi. islem tarihinin uzerinden saniyorum 23 gun falan gecti. yaşattıkları zaman kaybı ayrı, urunu başka alışveriş sitesinden aynı fiyatla almak yerine hepsiburada'yi ve berbat kargo firmaları hepsijet’i kullandığım için yaşattıkları güven kaybı ayrı. ürünleri indirimdeyken satin alamamış olmak ise apayri! sorunun giderilmesine yönelik musteriden yana herhangi bir çözüm önerisinde bulunulmadı, ""iadeyi kabul etmekten başka şansınız yok"" dendi, tesekkur ederim hepsiburada.
  "
94,"
    ""kutusunu açmışsınız bundan dolayı bluetooth hoparlörünüzü iade alamıyoruz"" diyen saçma sapan bir firmaya dönüşmüş alışveriş sitesi. ben bu siteden neredeyse ilk kurulduğu zamandan beri alışveriş yapıyorum ama hiç bu denli saçmaladıklarını kendi adıma görmemiştim. uzak durun.
  "
95,"
    siparişlerim bölümünde, yıllar önce aldığınız ilk ürünü ve o zamanki fiyatını görüp, hala ürün satılabilir olarak stoklardaysa günümüzdeki fiyatını görüp, şahlanmış ekonomimiz hakkında kısacık bir bilgilendirmeye de sahip olabileceğiniz, alışveriş sitesi. şöyleki kendilerinden ilk olarak aralık 2015'te 175 tl'ye 1 tb seagate taşınabilir bellek almışım ürün şu anda hala stokta ve fiyatı 440 tl. eylül 2016'da da kendilerinden ikinci alışverişimi yapmışım, 75 tl'ye philips radyolu saat almışım, şu anda aynı ürünün fiyatı 250 tl. son 4-5 yılda aynı ürünün fiyatının 2,5 - 3,3 kat arttığını gözlemleyerek ekonomimizin gücü hakkında bilgi sahibi olabiliyoruz. teşekkürler hepsiburada.com.
  "
96,"
    kademeli ve yasal mevzuatlara göre at koşturan müşteri memnuniyeti haklısınız kelimesinin ötesinde olmayan sözde e ticaret sitesi. 6.11.2020 tarihinde aldığım ürüne bugün itibari ile stok yetersizliği nedeni ile iptal eden bu firma aynı zamanda benim paramı 26 gün boyunca kullanmıştır. üstelik hiç bir hizmet vermediği halde. e sormazlar mı adama ? eyyyyyyy sözde e ticaret sitesi !!! sen hem kampanya döneminde elinde olamayan ürünü sat , sonra kampanya dönemi bitince stok yok de. ne yapmalı ? aynı ürünü +600 tl ödeyerek mi alalım ? şimdi bu iş artniyetli değilde nedir ?müsait bir zamanda belgeler ile birlikte rezalet gibi rezalet başlığı açacağım. düdüt : 150 tl fişeklediler.
  "
97,"
    kansere dönüşmüş e-ticaret sitesi, son 1 ayda 8 siparişimden 6'sını iptal etmişler, hele bir ürünü iptal edip tekrar satışa sunmuşlardı ben gene aldım, gene iptal ettiler, bide bunlar için mail falan atmıyorlar, paranız iade edilmiştir diye bir mesaj geliyor. eskiden uzun teslimat süreleri sebebiyle dert yanılırdı artık siparişleri göndermeyerek bu dertlerden kurtardı hepsiburada bizi, arızalı mı gelecek falan diye hiç düşünmüyoruz.
  "
98,"
    eksik gelen ürünüm için hiç birşey yapamıyorum. parayı tahsil etti ama eksik ürünüm için hiç bir şey yapmıyor. dolandırılmama göz yumup satıcı hakkında olumsuz yorum yapmama da izin vermiyor. altından kalkamayacakları operasyonlara girişip son indirim furyasında fena batırmışlar. siparişlerin tamamlanmasını sağlayamamışlardır.
  "
99,"
    14,90 tl olan bir üründen 4 adet satın almıştım. aynı gün kargoya verildi diye mail geldi. allahım dedim ne oluyor ?? tam bir hafta geçti üzerinden, neden hala teslim edilmedi diye kargo takip yapayım dedim, bir baktım ki ürünü maalesef tedarik edemedik diye iptal etmişler, paramı da iade ediyorlarmış. ulan hani kargoya verilmişti?? sinirden linke tıkladım bir baktım ki birebir aynı ürün (teknik özellikleri de aynı) hepsiburada'da yine satışta fakat bu sefer adet fiyatı 41,90 tl. bir sinirle müşteri hizmetlerini aradım, stoklarını güncellememişler, ben tabi saydırıyorum nasıl bir şark kurnazısınız, ürünü göndermekle yükümlüsünüz vs vs. böyle bağırıp çağırınca ""efendim hemen adınıza 20 tl'lik hediye çeki yüklüyoruz"" demeye başladı. al o hediye çekini de.. sizin ihtiyacınız var anlaşılan dedim kapadım.. bu arada ürün hala satışta, yüksek fiyatı ile..
  "
100,"
    genel olarak memnun kaldığım site ama en büyük sorunu kargo firmalarını seçememek ve hatta satıcının hangi kargo ile gönderim yapacağını görememek. mesela mng kargo adresimin bulunduğu ilçeye teslimat yapmıyor haliyle iade ediliyor ürünler. satıcı mağdur ben mağdur. gittigidiyor bu konuda çok iyi, her ürününün altında hangi kargo olduğu yazıyor. bunu yapmak çok mu zor hepsiburada.com?
  "
101,"
    buraya gelip ağlama duvarı izlemek çok keyifli.(bkz: boykot)
  "
102,"
    ürün ile ilgili olumsuz değerlendirme yapınca bahane uydurarak yayınlamayan oluşum. yorumun içinde gayet de ürünle ilgili bilgi olduğu halde olmadığını iddia edecek kadar da pişkinler.
  "
103,"
    ürün yorumlarıyla ilgili olarak kendilerine ulaştım:yorum yayımlama kriterleri, yorumun ürüne ilişkin olması ama satıcıya ilişkin olmamasıymış. yani aldığınız bir ürünün özelliklerine ilişkin yorum yapınca yayımlıyorlarmış. ancak ürün satıcı hatası sonucu (diyelim ki) hasarlı veya geç teslim edildi. o zaman yayımlamıyorlarmış. yani özetle satıcı kusuruna ilişkin hiçbir yorumu yayımlamadıklarını kendileri söylüyor. herhangi bir sebeple iadesi yapılamayan bir ürün satın almışsanız ya da bir şekilde iade süresini geçirdiyseniz geçmiş olsun. satıcıya olumsuz tek kelime yazamıyorsunuz. bir şeyler sipariş verirken aklınızda bulunsun bu da.
  "
104,"
    yorum yayınlamama olayı yüzünden uzun süredir kullanmadığım satıcı dostu, tüketici düşmanı site. trendyol’un günden güne fark atışını zevkle izliyorum.
  "
105,"
    indirimli ürün alınamayan alışveriş sitesi. hepsiburada satıcısından indirimli 15 kg kedi maması almıştım mahalledeki kedişler için. sipariş takipte kaç gündür kargoya verilecek diye kaldı. şikayet kaydı oluşturduktan bir gün sonra tedarik edemediklerini bilgi verdiler sağolsunlar. tedarik edilemeyen ürün sipariş listemden tamamen silindi sanki böyle bir işlem yapılmamış gibi. ne diyeyim ki. bir kez de düzgün bir iş yapmışsınız diye yazmak nasip olmadı.
  "
106,"
    olumsuz yorum yapacaklara aşağıdaki formatta bir yorum öneririm. denedim çalışıyor:""ürün fena değil, iş görüyor, oldukça kullanışlı.ürünü xyz isimli satıcıdan aldım. hepsijet ile 2 hafta sonra teslim edildi, satıcı tarafından adresim de eksik yazılmış. alacak olanların bunları değerlendirmesini öneririm.""
  "
107,"
    kendileri ile uzun bir zamandır sorun yaşıyoruz ve hepsiburada sorunu çözmekte yardımcı olmak istemediği gibi işi yokuşa sürmeye devam ediyor. #116126610t: ürünü sattıktan sonra olası bir arızada işi yokuşa süren alışveriş sitesi.
  "
108,"
    reklamlarından gına getiren.ulan düş artık peşimden be düş.
  "
109,"
    durun ben de bir rezalet anlatacağım!25 kasım'da kiğılı'dan slimfit kapitone mont siparişi verdim. 129.90 tl fiyatla.sonra aynı montun bir de normal bedeninden sipariş verdim onun fiyatı da 199.90 idi.sonra bu ilk sipariş verdiğim arkadaş kargoya verildi. yolda bişeyler oldu bana ulaşmadı. siparişlerim kategorisinden de baktım. iptal edilmiş görünüyor. hatta aynı gün para iadesi bile yapıldı. kafaya takmadım. herhalde hatalı fiyat vs oldu o yüzden iptal edildi dedim.diğer aldığım 199.90'lık ürün elime ulaştı. onu da üzerime giydiğimde slimfiti daha iyi duracağını düşündüğümden iade etmeyi düşünüyordum.fakat dün akşam kargo geldi. otomatik iptal edilen para iadesi dahi yapılan 129.90'lık ürün elime ulaştı. namıssız üzerime de tam oturdu. hem de 70 lira daha ucuz. fakat ürün de bende para da bende.fakat tabii ki vicdan ağır bastı. önce 199.90lık ürün için iade talebi oluşturup kodu aldım.diğer ürün için de hepsiburada'yı aradım( müşteri hizmetlerine ulaşmak daha kolay olmalı!) onu da fatura üzerindeki adrese karşı ödemeli olarak gönderebileceğim söylendi. onu da o şekilde gönderdim.en başta yazdığım rezalet işin esprisiydi. böyle şeyleri kafaya takacak biri değilim. fakat buradan hepsiburada kardeşimize sesleniyorum. allah aşkına bizi otomatik mesajlarla muhatap etmeyin. hayır bi yanlışlık oldu üzerimde kalacak ürün. nasıl bir yol izleyeceğimi bilemiyorum. ulaşana kadar canım çıktı.
  "
110,"
    (bkz: 19 kasim 2020 hepsiburada boykotu)(bkz: 16 kasim 2020 hepsiburada ve apple rezaleti)
  "
111,"
    (bkz: hepsiburada tarafindan tehtit edilmem)
  "
112,"
    siparişi vermem akabinde 13 gündür siparişi tarafıma ulaştıramayan firma.çağrı merkezi özür dilemekten ve son sipariş tarihini (15 gün içinde) vermekten başka bir şey yapmıyor.hepsijet ise kargonun araçtan çıkmadığını, merkezden tekrar kargo yapıldığını söylüyor.istanbul içinde 13 gün içinde kargoyu ulaştıramamak nerde bakarsanız bakın büyük başarıdır. tebrik ederim.
  "
113,"
    eskiyi getir yeniyi götür kampanyasıyla gönderdiğim eski telefonumu muhtemelen ya kaybeden ya da gaspeden firma. iyi ki kargo takip numarasını saklıyorum, kargonun firmaya teslim edildiği kargo takip sisteminden kanıtlı. haftalardır müşteri hizmetlerini arayıp ""teklif vermiyorsunuz telefonu da iade etmiyorsunuz ne oldu bizim iş hacı"" diye soruyorum her seferinde kargo takip numarasını tekrar isteyip biz size döneceğiz diyorlar. tüketici hakem heyetine mi gitsem, gasp edildim diyerek ağır ceza mahkemesine mi gitsem bilemedim.edit: destek talebimi teklif bile vermemiş olmasına rağmen ""ödeme yapılmıştır"" diyerek kapatan gaspçı firma. peşindeyim.
  "
114,"
    satın aldığınız markadan başka bir ürün gönderen, bunu ürün yorumuna yazınca da yorumu yayına almayan site.kedim için şu cama yapışan yataklardan alayım dedim. hepsiburada, n11 ve trendyol'a baktım. n11 ve trendyol'da bazı satıcıların asıl markayı değil de yerli bir markayı yolladığını görünce o iki siteden almadım. hepsiburada'da asıl istediğim marka vardı ve yorumlarda kimse başka bir marka geldi yazmamıştı. ben de daha fazla para ödeyip buradan aldım ve elime ulaşınca tabi ki yerli çakmasını göndermişlerdi. iade talebi oluşturup başkası da aynı problemi yaşamasın diye gidip ürünün altına ""ithal olan marka yerine yerli bir marka gönderildi"" yazdım. şu ifadeyi yayına almayı reddettiler.kusura bakmayın ama bundan sonra sizden çöp almam. dandik denilen siteler bile kullanıcı yorumlarına sansür uygulamazken siz kim köpeksiniz ki müşteriye çakma marka gönderen satıcıyı kolluyorsunuz? öyle reklamda cem yılmaz'a ""kullanıcı yorumları çok önemli eheheh"" dedirtmekle olmuyor bu işler.
  "
115,"
    tamam anlıyorum, çok fazla ürün var ve hepsinin kategorilerini kontrol etmek kolay bir iş değil. ancak rasgele kontrollerle bile fark edebilecekleri bir çok hata bulunuyor.açıklamada bot yazıyor, kategorisi de bot & çizme olarak işaretlenmiş ama ürün resmi terlik.https://ibb.co/sqnqx4w
"
116,"
    genelde n11, gittigidiyor gibi muadillerini kullanırdım ancak aradığım ürünü uygun fiyata bulduğum için bu sefer hepsiburada'yı tercih ettim. bu da ilk ve sondur. 1 haftayı geçti, hala kargoya bile veremediler. 2-3 gün sonrasında söylenen gittigidiyor, n11 ve hatta bir başka rezil trendyol bile siparişleri teslim etti ancak bu arkadaşlar daha henüz kargoya bile veremedi. lanet olsun vereceğiniz hizmet batsın. indirimli diye böyle oluyor herhalde? bide hiç bir boka yaramayan whatsapp destek hattı var. sadece sorunca evet kargo gecikti desin diye koymuşlar. kasım fırsatlarına çok ilgi olmuş ondanmış. hassiktir len ordan. sanki ön görülemez bir yoğunluktu. sanki elinizde veri yoktu. bilmesek bizi sikeceksiniz. boşa para akıtıyosunuz sisteme, çalışanlara. kovun alayını bu işleri yapabilecek bir ton işsiz var. tedarik zinciriniz ve planlamanız berbat, rezil.özet: acelesi olan bi ürünse 5-10 lira fazla verin başka siteden alın, 10 gün daha önce gelir. kargo konusunda mng ne ise alışveriş sitelerinde hepsiburada o'dur.
  "
